<<<<<<< HEAD
<<<<<<< HEAD
Order ID,Date,itemID,Total Order Price
0,2022/02/27 20:10:40,504,7.0
0,2022/02/27 20:10:40,503,7.0
1,2022/02/27 20:11:02,508,22.0
1,2022/02/27 20:11:02,509,22.0
1,2022/02/27 20:11:02,509,22.0
1,2022/02/27 20:11:02,509,22.0
2,2022/02/27 22:32:28,504,16.5
2,2022/02/27 22:32:28,503,16.5
2,2022/02/27 22:32:28,508,16.5
2,2022/02/27 22:32:28,508,16.5
3,2022/02/28 18:28:27,507,7.5
4,2022/02/28 18:29:36,502,27.5
4,2022/02/28 18:29:36,502,27.5
4,2022/02/28 18:29:36,502,27.5
4,2022/02/28 18:29:36,502,27.5
4,2022/02/28 18:29:36,502,27.5
5,2022/02/28 18:30:40,505,5.0
6,2022/02/28 18:31:01,519,2.0
7,2022/02/28 18:31:08,509,14.0
7,2022/02/28 18:31:08,508,14.0
7,2022/02/28 18:31:08,512,14.0
8,2022/03/01 09:37:19,501,27.5
8,2022/03/01 09:37:19,502,27.5
8,2022/03/01 09:37:19,503,27.5
8,2022/03/01 09:37:19,504,27.5
9,2022/03/01 09:37:42,503,36.0
9,2022/03/01 09:37:42,504,36.0
9,2022/03/01 09:37:42,502,36.0
9,2022/03/01 09:37:42,502,36.0
9,2022/03/01 09:37:42,507,36.0
9,2022/03/01 09:37:42,508,36.0
9,2022/03/01 09:37:42,509,36.0
10,2022/03/01 09:38:14,507,7.5
11,2022/03/01 11:40:40,507,24.0
11,2022/03/01 11:40:40,501,24.0
11,2022/03/01 11:40:40,502,24.0
11,2022/03/01 11:40:40,503,24.0
=======
1,2022/03/05 12:48:42,502,10.25
1,2022/03/05 12:48:42,508,10.25
2,2022/03/05 13:47:11,502,14.5
2,2022/03/05 13:47:11,503,14.5
2,2022/03/05 13:47:11,503,14.5
3,2022/03/05 13:50:08,504,2.5
4,2022/03/05 13:51:29,504,2.5
>>>>>>> dd47523717da5678cb0383c9d16c5040493bbf1e
5,2022/03/05 14:38:27,502,27.5
5,2022/03/05 14:38:27,502,27.5
5,2022/03/05 14:38:27,504,27.5
5,2022/03/05 14:38:27,504,27.5
5,2022/03/05 14:38:27,509,27.5
5,2022/03/05 14:38:27,509,27.5
6,2022/03/05 14:38:57,501,15.0
6,2022/03/05 14:38:57,501,15.0
7,2022/03/06,501,7.5
8,2022/03/06,501,7.5
9,2022/03/06,501,7.5
10,2022/03/06,501,7.5
11,2022/03/06,520,7.99
12,2022/03/06,501,90.0
12,2022/03/06,501,90.0
12,2022/03/06,501,90.0
12,2022/03/06,501,90.0
12,2022/03/06,501,90.0
12,2022/03/06,501,90.0
12,2022/03/06,501,90.0
12,2022/03/06,501,90.0
12,2022/03/06,501,90.0
12,2022/03/06,501,90.0
12,2022/03/06,501,90.0
12,2022/03/06,501,90.0
13,2022/03/07,501,97.5
13,2022/03/07,501,97.5
13,2022/03/07,501,97.5
13,2022/03/07,501,97.5
13,2022/03/07,501,97.5
13,2022/03/07,501,97.5
13,2022/03/07,501,97.5
13,2022/03/07,501,97.5
13,2022/03/07,501,97.5
13,2022/03/07,501,97.5
13,2022/03/07,501,97.5
13,2022/03/07,501,97.5
13,2022/03/07,501,97.5
14,2022/03/07,501,270.0
14,2022/03/07,501,270.0
14,2022/03/07,501,270.0
14,2022/03/07,501,270.0
14,2022/03/07,501,270.0
14,2022/03/07,501,270.0
14,2022/03/07,501,270.0
14,2022/03/07,501,270.0
14,2022/03/07,501,270.0
14,2022/03/07,501,270.0
14,2022/03/07,501,270.0
14,2022/03/07,501,270.0
14,2022/03/07,501,270.0
14,2022/03/07,501,270.0
14,2022/03/07,501,270.0
14,2022/03/07,501,270.0
14,2022/03/07,501,270.0
14,2022/03/07,501,270.0
14,2022/03/07,501,270.0
14,2022/03/07,501,270.0
14,2022/03/07,501,270.0
14,2022/03/07,501,270.0
14,2022/03/07,501,270.0
14,2022/03/07,501,270.0
14,2022/03/07,501,270.0
14,2022/03/07,501,270.0
14,2022/03/07,501,270.0
14,2022/03/07,501,270.0
14,2022/03/07,501,270.0
14,2022/03/07,501,270.0
14,2022/03/07,501,270.0
14,2022/03/07,501,270.0
14,2022/03/07,501,270.0
14,2022/03/07,501,270.0
14,2022/03/07,501,270.0
14,2022/03/07,501,270.0
15,2022/03/07,501,7.5
16,2022/03/07,501,7.5
17,2022/03/07,501,7.5
18,2022/03/07,501,97.5
18,2022/03/07,501,97.5
18,2022/03/07,501,97.5
18,2022/03/07,501,97.5
18,2022/03/07,501,97.5
18,2022/03/07,501,97.5
18,2022/03/07,501,97.5
18,2022/03/07,501,97.5
18,2022/03/07,501,97.5
18,2022/03/07,501,97.5
18,2022/03/07,501,97.5
18,2022/03/07,501,97.5
18,2022/03/07,501,97.5
19,2022/03/07,501,217.5
19,2022/03/07,501,217.5
19,2022/03/07,501,217.5
19,2022/03/07,501,217.5
19,2022/03/07,501,217.5
19,2022/03/07,501,217.5
19,2022/03/07,501,217.5
19,2022/03/07,501,217.5
19,2022/03/07,501,217.5
19,2022/03/07,501,217.5
19,2022/03/07,501,217.5
19,2022/03/07,501,217.5
19,2022/03/07,501,217.5
19,2022/03/07,501,217.5
19,2022/03/07,501,217.5
19,2022/03/07,501,217.5
19,2022/03/07,501,217.5
19,2022/03/07,501,217.5
19,2022/03/07,501,217.5
19,2022/03/07,501,217.5
19,2022/03/07,501,217.5
19,2022/03/07,501,217.5
19,2022/03/07,501,217.5
19,2022/03/07,501,217.5
19,2022/03/07,501,217.5
19,2022/03/07,501,217.5
19,2022/03/07,501,217.5
19,2022/03/07,501,217.5
19,2022/03/07,501,217.5
20,2022/03/07,501,217.5
20,2022/03/07,501,217.5
20,2022/03/07,501,217.5
20,2022/03/07,501,217.5
20,2022/03/07,501,217.5
20,2022/03/07,501,217.5
20,2022/03/07,501,217.5
20,2022/03/07,501,217.5
20,2022/03/07,501,217.5
20,2022/03/07,501,217.5
